,,Name,Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
39,,@JEBA-x9q,"2025-11-18 00:07:47",1,yes,no,"Por favor!!!! Nuñez….. haces el ridículo. Eres incapaz de responder las preguntas! Es, por donde se vea, un fracaso y si no somos capaces de verlo como tal, nos van a barrer en 2a vuelta",UCXBx_o7JcdcDbIl5LxHj4Og,UgxNrXXkHpogHPchvMJ4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgxNrXXkHpogHPchvMJ4AaABAg
40,,@PatriciaMelladoAedo,"2025-11-18 00:07:47",3,yes,no,"Jara a segunda vuelta??? Si los chilenos estamos agobiados con los comunistas que pasa???? Esto es una pesadilla",UCSXLp1PYVLQjbwscDKYHqOQ,UgwpIkkcD8t-yzqPhCV4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgwpIkkcD8t-yzqPhCV4AaABAg
41,,@Thamar27,"2025-11-18 00:07:47",7,yes,no,"Mis felicitaciones a Jeannette Jara, todo mi apoyo. Volveré a votar por ella en diciembre. Me duele y no puedo entender a la masa de chilenos que votó a Kast y Kaiser. Lo de Parisi se entiende por los nostálgicos de una figura estilo Piñera, pero votar por nazis y ultraderechistas racistas, machistas, explotadores y atropelladores de los DDHH de norte a sur... Parte el alma 💔",UCNVofMGzqOHUbSMGH-oxkPw,UgyVdkd2O_-E3fIlkrt4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgyVdkd2O_-E3fIlkrt4AaABAg
42,,@ToloSalazar-xs7qi,"2025-11-18 00:07:47",2,yes,no,"Con Kast nos fuimos a la B",UCIpI3hUsBFt46yGxBXn9pAg,UgznCDCTi6G-dp6ucEV4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgznCDCTi6G-dp6ucEV4AaABAg
43,,@ToloSalazar-xs7qi,"2025-11-18 00:07:47",1,yes,no,"Que apestoso Willy Duarte",UCIpI3hUsBFt46yGxBXn9pAg,UgwBgtKipw7Tsw03GQJ4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgwBgtKipw7Tsw03GQJ4AaABAg
44,,@ToloSalazar-xs7qi,"2025-11-18 00:07:47",1,yes,no,"Tendremos una nueva marca, Panama JAK",UCIpI3hUsBFt46yGxBXn9pAg,UgxCAHSIg3wW9YWvSSJ4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgxCAHSIg3wW9YWvSSJ4AaABAg
45,,@aliciamorales6089,"2025-11-18 00:07:47",2,yes,no,"Eso significa que todavía existen imbeciles en Chile 🇨🇱",UCXRg8xlSNMDHRfo1yTmRYDQ,UgwozDZ_Zn97GKWSrNh4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgwozDZ_Zn97GKWSrNh4AaABAg
46,,@carlosaguilarcastillo954,"2025-11-18 00:07:47",1,yes,no,"PARA QUE LOS EMPRESARIOS PUEDAN INVERTIR TIENE QUE HABER PAZ SOCIAL, EL COMUNICADO, LA ADVERTENCIA , DE JARA. ????????",UCWCXfum2xoMTVZRUQrLPdSQ,UgxlUdhUM0Vigy6nLAx4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgxlUdhUM0Vigy6nLAx4AaABAg
47,,@carlosriquelme6535,"2025-11-18 00:07:47",1,yes,no,"el cáncer comunistas tarde  o temprano hará de chile, un país semejante a cuba, Nicaragua, Venezuela, nunca murió el octubrismo, como se explica las  votaciones, de Jaime balza,  y Elisa loncon, los jerarcas de la convención,que quería refundar chile , los traidores de la democracia cristiana, que se venden al comunismo, llámese chancho milla, Aedo, Gracias a Dios no fue electo, en verdad tétrico y asqueroso.",UCAxtWDd89xSMHtEiJRb7xvQ,UgzFdgEwUGfx4TxnzGZ4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgzFdgEwUGfx4TxnzGZ4AaABAg
48,,@fabianvargascortes8805,"2025-11-18 00:07:47",1,yes,no,"Zurdistan en su máxima expresión",UCZ_nuf-IGD8IChd8ClTzU5Q,UgzfTSRTxgU7mlJ6ZDt4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgzfTSRTxgU7mlJ6ZDt4AaABAg
49,,@goodynunez,"2025-11-18 00:07:47",1,yes,no,"El problema en chile es que la.mayoria no LEE,,, viven en la ignorancia plena.Solo repite como loros... Entonces el problema es de la indosicracia 😢",UCltwlRRzQzWNJxkDfvyFm8A,Ugy_Po8NZ0L4VchfNJF4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=Ugy_Po8NZ0L4VchfNJF4AaABAg
50,,@hectorravanal3580,"2025-11-18 00:07:47",1,yes,no,"Que el representante de Kast no haya nacido es estúpidamente irrelevante. Éste  tipo no hace la Historia  de Chile...y está por no haber nacido NO SE PUEDE NEGAR...EL TERROR Y EL HORROR EL PAIS LO VIVIÓ...QUE CONSULTE LOS INFORMES RETTIG Y VALECH  ASI CÓMO LOS INFORMES DE NACIONES UNIDAS CONDENANDO LOS CRÍMENES DE LESA HUMANIDAD  COMETIDOS EN EL PAÍS.",UCIaTDdSCY7feLdmlndu8G4Q,Ugxbkc7SziENdCWQPlt4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=Ugxbkc7SziENdCWQPlt4AaABAg
51,,@isidorasalaberrypavone8015,"2025-11-18 00:07:47",6,yes,no,"Si sale Kast habra un segundo estallido social. Indiscutiblemente",UCYaaDdjhhuKXA-OjSjixHmQ,UgwsR98I7v7rK2KupJN4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgwsR98I7v7rK2KupJN4AaABAg
52,,@isidorasalaberrypavone8015,"2025-11-18 00:07:47",3,yes,no,"Tanto le cuesta a la derecha asumir que a kast le fue peor de lo que esperaban? Jara hizo la primera parte de su pega. Ahora toca seguir luchando para que el fascismo no vuelva a estar en nuestro pais.",UCYaaDdjhhuKXA-OjSjixHmQ,UgxB5xS-3Gk69tqTJYp4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgxB5xS-3Gk69tqTJYp4AaABAg
53,,@janeausten5681,"2025-11-18 00:07:47",4,yes,no,"Yaaaa corténla con el golpe del 73!!!! Los detenidos desaparecidos y torturados!!!  Hoy, siglo XXI 2025,  hay personas desaparecidas, crímenes x tortura, todo por el incremento de narcos y mafias!!!  Y quién vela por estas nuevas vìctimas!!! No, no son importantes porque no fueron políticos!!! BASTA!!! Chile se hunde por los problemas del pasado que sabemos no se solucionarán!!En 30 años más seguirán ""webiando"" por el 73!!!....Ya le dije una vez a mis padres,  si me condenan por involucrarme en política, es asunto mio!!! Yo decidí meterme con todos los riesgos que eso conllleva!",UCHWrYoRo2bJeH9jO1-71luw,UgwTvTmR6MiLu0yMkG54AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgwTvTmR6MiLu0yMkG54AaABAg
54,,@loretochihuailafvera4281,"2025-11-18 00:07:47",2,yes,no,"Pepe Auth que tipo mas despreciable",UCQSMDX9GJaktzXQ9EcyyG7A,Ugz830SXOR0krSGvj394AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=Ugz830SXOR0krSGvj394AaABAg
55,,@maeluva2640,"2025-11-18 00:07:47",8,yes,no,"Kast votó rechazo en todos los avances importantes para trabajadores y personas mayores, prefieren vivir con un sueldo miserable y pensión indigna al votar por kast",UCCkvtsAYbfKDBP6_IDlmPYg,UgwQBCk8WjExJVsiXGd4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgwQBCk8WjExJVsiXGd4AaABAg
56,,@Anticom-h7m,"2025-11-18 00:07:53",16,yes,no,"Que explicación estará buscando el cantinfla de Mayol ?Podría hacer una asociación de encuestadores con Mori.",UCZT9RQmE2SwNLLtqWVMLxeA,UgytDlrm5kNXsLtu5oV4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgytDlrm5kNXsLtu5oV4AaABAg
57,,@CH-mz4im,"2025-11-18 00:07:53",9,yes,no,"Adios a la izquierda en chile",UC5isDMjfaLuII87L-JB9n9w,UgzfRqMufFnmPDCF_4l4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgzfRqMufFnmPDCF_4l4AaABAg
58,,@EladioGarcíaSalcedo,"2025-11-18 00:07:53",1,yes,no,"Hay señor!! No tiene por dónde esta vieja",UC7bWHzHb1tFvGznHr5wC_NQ,UgzTYlJEpJhVqezfGzZ4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgzTYlJEpJhVqezfGzZ4AaABAg
59,,@JuanaSantis-x3b3m,"2025-11-18 00:07:53",8,yes,no,"Kas tiene que renunciar ala O.N.U.para merecer ser presidente de chile",UCc9SHa5Ird2fPIUpyUPeisw,UgxB0yLnS-71plER-Y54AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgxB0yLnS-71plER-Y54AaABAg
60,,@Lissy-g3q,"2025-11-18 00:07:53",3,yes,no,"Me río toda la noche de los disque comentaristas cuando hablan del Pdg , no entiendan que lo sensato es el fondo, ahí recién le van achuntar!! Mientras sueñen bonito en especial los zurditos",UCXErn3bwM7_ZzpjnWLIpkaw,UgzYqBEkhBCS-fWR3qp4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgzYqBEkhBCS-fWR3qp4AaABAg
